"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.371163458E0,-4.226617515E-2,6.791865453E-3,-3.953462094E-2
1.381093458E0,-3.123151325E-2,5.492409226E-3,-1.833844930E-2
1.391023458E0,-1.414866745E-2,4.925904796E-4,2.309836447E-3
1.400953458E0,1.632180763E-3,-1.254449412E-2,6.260812283E-3
1.410884458E0,1.235459931E-2,-1.469712704E-2,-2.394727431E-3
1.420814458E0,1.639584266E-2,-1.593955979E-2,-1.599213853E-2
1.430744458E0,1.351723168E-2,-1.896917261E-2,-3.141876683E-2
1.440674458E0,1.947376877E-4,-2.828920819E-2,-4.179512337E-2
1.450605458E0,-1.710302569E-2,-3.461075574E-2,-4.823251814E-2
1.460535458E0,-3.638515994E-2,-3.806379065E-2,-5.030133575E-2
1.470465458E0,-4.149176925E-2,-2.688250691E-2,-5.235410109E-2
1.480395458E0,-4.531126097E-2,-7.459228393E-3,-4.815487936E-2
1.490326458E0,-4.052130133E-2,-1.611991785E-3,-4.268607497E-2
1.500256458E0,-3.987903148E-2,-6.840489805E-3,-3.812960535E-2
1.510186458E0,-3.549493477E-2,-1.955948025E-2,-4.316324741E-2
1.520116458E0,-3.144363314E-2,-3.169447929E-2,-4.926280305E-2
1.530047458E0,-2.468346804E-2,-4.031353816E-2,-5.575452372E-2
1.539977458E0,-1.880044118E-2,-3.651207313E-2,-5.153650045E-2
1.549907458E0,-1.266957819E-2,-2.445487678E-2,-4.564532265E-2
1.559837458E0,-1.400920190E-2,-5.162227899E-3,-5.093732476E-2
1.569768458E0,-1.920050196E-2,4.073347896E-3,-5.843012780E-2
1.579698458E0,-2.918558940E-2,9.782121051E-4,-6.745947152E-2
1.589628458E0,-3.709943593E-2,-1.182972826E-2,-5.859646946E-2
1.599558458E0,-3.284973651E-2,-2.314846963E-2,-3.097029030E-2
1.609489458E0,-2.432069555E-2,-2.227948047E-2,-4.840417765E-3
1.619419458E0,-9.829802439E-3,-2.281806618E-2,4.891173448E-3
1.629349458E0,-1.742315479E-3,-3.401932120E-2,-1.047260314E-2
1.639279458E0,-3.396612592E-4,-5.442072079E-2,-3.782074153E-2
