"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.035358833E0,2.694396973E-1,1.639091492E0,9.618398438E0
2.045289833E0,2.384541321E-1,1.612297211E0,9.719288635E0
2.055221833E0,2.091151428E-1,1.589993591E0,9.789492645E0
2.065152833E0,1.890568542E-1,1.556313629E0,9.809401245E0
2.075084833E0,1.851649475E-1,1.518741760E0,9.777367859E0
2.085015833E0,1.892065430E-1,1.507365417E0,9.716594238E0
2.094947833E0,1.721420288E-1,1.540296936E0,9.674232330E0
2.104878833E0,1.544787598E-1,1.592238922E0,9.656718750E0
2.114810833E0,1.471440125E-1,1.645228729E0,9.644444275E0
2.124741833E0,1.454974365E-1,1.655557251E0,9.657018127E0
2.134672833E0,1.733395386E-1,1.634900208E0,9.658215637E0
2.144604833E0,1.930984497E-1,1.602268066E0,9.637408905E0
2.154535833E0,2.260299683E-1,1.579964447E0,9.652527466E0
2.164467833E0,2.252815247E-1,1.549278259E0,9.649384003E0
2.174398833E0,1.869612122E-1,1.539398804E0,9.664652252E0
2.184330833E0,1.685494995E-1,1.550326080E0,9.672885132E0
2.194261833E0,1.686991882E-1,1.568288727E0,9.694739685E0
2.204192833E0,2.089654541E-1,1.570384369E0,9.709858246E0
2.214124833E0,2.718347168E-1,1.584904175E0,9.712253265E0
2.224055833E0,3.360511780E-1,1.575324097E0,9.667646027E0
2.233987833E0,3.829037476E-1,1.575324097E0,9.590406647E0
2.243918833E0,3.468287659E-1,1.617087250E0,9.551487579E0
2.253850833E0,2.779719543E-1,1.665436707E0,9.564061432E0
2.263781833E0,2.297721863E-1,1.679507446E0,9.597292328E0
2.273712833E0,2.389031982E-1,1.660347290E0,9.640402679E0
2.283644833E0,2.787203979E-1,1.619332581E0,9.709409180E0
2.293575833E0,3.704795837E-1,1.578317871E0,9.710906067E0
2.303507833E0,4.357438660E-1,1.578617249E0,9.693093109E0
2.313438833E0,3.972738647E-1,1.612895966E0,9.680668945E0
2.323370833E0,3.299139404E-1,1.650916901E0,9.685758362E0
2.333301833E0,2.803669739E-1,1.638642426E0,9.690548401E0
2.343232833E0,2.676434326E-1,1.610650635E0,9.704768829E0
2.353164833E0,3.080593872E-1,1.586999817E0,9.719588013E0
