"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.839200250E0,-9.366023254E-1,3.243006134E0,9.241332550E0
2.849131250E0,-9.669891357E-1,3.237916718E0,9.245374146E0
2.859062250E0,-9.758207703E-1,3.228336639E0,9.207353210E0
2.868994250E0,-9.357041931E-1,3.233126678E0,9.149124298E0
2.878925250E0,-9.153465271E-1,3.262465668E0,9.097930756E0
2.888856250E0,-9.081614685E-1,3.297043762E0,9.065747681E0
2.898788250E0,-9.205856323E-1,3.276386719E0,9.067693634E0
2.908719250E0,-9.587562561E-1,3.264561310E0,9.108408966E0
2.918651250E0,-9.488768005E-1,3.279829559E0,9.184750214E0
2.928582250E0,-8.887019348E-1,3.268902283E0,9.253457336E0
2.938513250E0,-8.767268372E-1,3.224594421E0,9.294472046E0
2.948445250E0,-8.431965637E-1,3.200793915E0,9.285041656E0
2.958376250E0,-8.370593262E-1,3.208278351E0,9.285490723E0
2.968307250E0,-8.460406494E-1,3.242108002E0,9.314230957E0
2.978239250E0,-8.461903381E-1,3.265609131E0,9.317224731E0
2.988170250E0,-8.343649292E-1,3.263663177E0,9.286089478E0
2.998101250E0,-8.705895996E-1,3.251089325E0,9.230704651E0
3.008033250E0,-8.749305725E-1,3.248993683E0,9.164093170E0
3.017964250E0,-8.861572266E-1,3.250340881E0,9.124126282E0
3.027895250E0,-8.750802612E-1,3.265758820E0,9.106313324E0
3.037827250E0,-8.711883545E-1,3.276386719E0,9.085656281E0
3.047758250E0,-8.641529846E-1,3.291804657E0,9.065747681E0
3.057689250E0,-8.738827515E-1,3.293600922E0,9.041797485E0
3.067621250E0,-9.071136475E-1,3.272345123E0,9.017098846E0
3.077552250E0,-9.747729492E-1,3.277584229E0,9.040300598E0
3.087484250E0,-1.021326141E0,3.299438782E0,9.099277954E0
3.097415250E0,-1.021625519E0,3.295846252E0,9.176966400E0
3.107346250E0,-1.009650421E0,3.297941895E0,9.243727570E0
3.117278250E0,-9.767189026E-1,3.304528198E0,9.281898193E0
3.127209250E0,-9.857002258E-1,3.281625824E0,9.288783875E0
3.137140250E0,-1.007854156E0,3.257076874E0,9.269024963E0
3.147072250E0,-1.003363495E0,3.269201660E0,9.288334808E0
3.157003250E0,-1.019230499E0,3.264112244E0,9.321865082E0
3.166934250E0,-1.030606842E0,3.244203644E0,9.343120880E0
3.176866250E0,-1.026565247E0,3.230881348E0,9.311536560E0
3.186797250E0,-1.025517426E0,3.223845978E0,9.255852356E0
3.196728250E0,-1.038839722E0,3.260220337E0,9.196425934E0
3.206660250E0,-1.037941589E0,3.301534424E0,9.161249084E0
3.216591250E0,-9.933343506E-1,3.317850494E0,9.164542236E0
3.226522250E0,-9.448352051E-1,3.345692596E0,9.191785583E0
3.236454250E0,-9.351054382E-1,3.345093842E0,9.182504883E0
3.246385250E0,-8.928932190E-1,3.336711273E0,9.124126282E0
3.256316250E0,-8.961863708E-1,3.344644775E0,9.115743713E0
3.266248250E0,-9.029223633E-1,3.378773804E0,9.136101379E0
3.276179250E0,-8.884025574E-1,3.378624115E0,9.132059784E0
3.286111250E0,-8.681945801E-1,3.364553375E0,9.137747955E0
